unique_id,instrument,bjd,rv,rv_err,fwhm,contrast,BIS
00721892,Hermes,57572.6368045,-35.0638155771,0.08,20.0395185832,0.2,1.04321600379
00721901,Hermes,57572.6915069,-35.5451844229,0.08,20.0395185832,0.2,1.01218939535
00722224,Hermes,57573.5398381,-30.9170778853,0.05,17.4727647341,0.27,0.049884923656
00722240,Hermes,57573.6548632,-29.9271844229,0.047,17.0018007251,0.28,0.0196800532407
00722249,Hermes,57573.7107813,-29.4171844229,0.045,16.7427705202,0.29,-0.00547180965773
00722539,Hermes,57574.5819555,-20.8431844229,0.033,13.8698900652,0.38,-0.338603726169
00722553,Hermes,57574.690002,-19.7233688459,0.033,13.7992454639,0.39,-0.404153117124
00722848,Hermes,57575.4828796,-11.3368934624,0.078,16.0363245067,0.46,-1.70027501926
00722870,Hermes,57575.6669261,-9.71618442294,0.094,16.9311561238,0.47,-2.0997494608
00722879,Hermes,57575.7221372,-9.06018442294,0.095,16.836963322,0.46,-2.3854227062
00729461,Hermes,57626.531501,-35.8518155771,0.075,19.9453257814,0.2,0.581636357469
00730033,Hermes,57627.527172,-28.1218155771,0.041,16.2011619098,0.3,-0.0699593254444
00730494,Hermes,57628.5059531,-18.1808155771,0.034,13.752149063,0.4,-0.590924087769
00730899,Hermes,57629.5124151,-8.66236884588,0.042,17.3785719323,0.37,-1.31988380974
00731395,Hermes,57630.5112261,1.21036884588,0.076,22.3707904278,0.3,-2.51793128853
00731975,Hermes,57631.5485346,-33.3038155771,0.075,20.0630667837,0.2,0.930519026911
00732436,Hermes,57632.5637022,-31.137,0.049,17.77889134,0.26,0.105306711789
00736541,Hermes,57636.5434272,-14.1808155771,0.071,22.2059530246,0.24,-0.680389687709
00836441,Hermes,57994.5699031,-8.12418442294,0.045,18.2734035494,0.37,-1.43611045222
00836839,Hermes,57995.4872124,1.016,0.079,23.0536882409,0.3,-2.52803474602
00838415,Hermes,57998.5285747,-21.431,0.031,13.7286008625,0.39,-0.330895697698
00838656,Hermes,57999.4277658,-12.5038155771,0.039,15.6595532995,0.39,-1.14569438676
00839217,Hermes,58000.4500756,-3.07163115412,0.056,20.4162897904,0.34,-1.73153491037
00840119,Hermes,58001.4311127,-13.6591844229,0.07,22.5356278309,0.24,-0.63841487594
00840770,Hermes,58002.4418744,-34.9868155771,0.061,19.0504941643,0.23,0.390600220037
00841509,Hermes,58003.4345129,-26.0752623082,0.035,14.9531072859,0.34,-0.131575927221
00848322,Hermes,58025.5926984,-19.107,0.032,13.8698900652,0.4,-0.498486803576
00848616,Hermes,58026.5358539,-9.98881557706,0.041,16.9547043242,0.38,-1.28350790107
00848861,Hermes,58027.4750401,-0.928,0.065,21.2875732071,0.32,-2.04135198998
00849225,Hermes,58031.6052338,-12.7761844229,0.038,15.7772943017,0.39,-1.09282110231
00850429,Hermes,58032.515422,-4.607,0.052,19.5450063738,0.36,-1.67088365583
00850711,Hermes,58033.4314768,-2.60881557706,0.083,24.3488392656,0.25,-1.99865215651
00851559,Hermes,58035.5656577,-26.8476311541,0.034,15.1179446891,0.33,-0.124297955699
00855769,Hermes,58067.4593646,-29.8601844229,0.04,16.4601921148,0.29,0.0665578825903
00855770,Hermes,58067.4613319,-29.8421844229,0.04,16.4601921148,0.29,0.0597600864405
00856171,Hermes,58070.4854124,-0.335631154124,0.065,22.0882120224,0.32,-1.85031826915
00856255,Hermes,58071.3551642,-24.5241844229,0.062,20.7930609976,0.23,0.531218041133
00856471,Hermes,58072.447852,-33.2086311541,0.049,18.1792107476,0.25,0.272521074629
