unique_id   star_name      bjd   exp_time bary_corr RV_drift telluric_offset terruric_offset_err width_telfit rv rv_err n_lines depth_ccf depth_ccf_err sigma_ccf sigma_ccf_err snr  O_C wv_cal_file mask_file FF_file FF_file2 FF_file3  
01030889   alfUMi      2459650.7637785   30 -12.026 0.000 0.131 0.001 2.095 -14.390 0.058 1001 0.216 0.002 6.881 0.09 285.80  0.01    /projects/astro/mercator21/STARS/alfUMi/20220311/reduced/01030865_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220311/reduced/01030819_HRF_FF_ext.fits
01030988   alfUMi      2459651.5897577   30 -12.050 0.000 0.096 0.001 2.189 -16.373 0.054 1001 0.216 0.002 6.704 0.08 286.23  0.01    /projects/astro/mercator21/STARS/alfUMi/20220312/reduced/01030979_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220312/reduced/01030931_HRF_FF_ext.fits
01031176   alfUMi      2459656.5086210   30 -12.118 0.000 -0.057 0.002 2.029 -15.585 0.058 1002 0.226 0.002 6.543 0.09 258.68  0.01    /projects/astro/mercator21/STARS/alfUMi/20220317/reduced/01031172_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220317/reduced/01031125_HRF_FF_ext.fits
01031360   alfUMi      2459658.4422071   40 -12.122 0.000 -0.059 0.003 2.082 -13.774 0.065 1001 0.220 0.002 6.614 0.10 240.71  0.01    /projects/astro/mercator21/STARS/alfUMi/20220319/reduced/01031362_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220319/reduced/01031320_HRF_FF_ext.fits
01031560   alfUMi      2459660.3776598   30 -12.113 0.000 -0.010 0.001 2.146 -15.727 0.059 1002 0.228 0.002 6.473 0.09 46.98  0.01    /projects/astro/mercator21/STARS/alfUMi/20220321/reduced/01031564_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220321/reduced/01031524_HRF_FF_ext.fits
01032260   alfUMi      2459669.5065680   50 -11.895 0.000 -0.142 0.002 2.068 -12.914 0.076 1002 0.229 0.003 6.598 0.12 264.64  0.01    /projects/astro/mercator21/STARS/alfUMi/20220330/reduced/01032244_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220330/reduced/01032213_HRF_FF_ext.fits
01032365   alfUMi      2459670.4969613   30 -11.853 0.000 -0.123 0.001 2.145 -14.129 0.060 1001 0.223 0.002 6.749 0.09 330.36  0.01    /projects/astro/mercator21/STARS/alfUMi/20220331/reduced/01032375_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220331/reduced/01032316_HRF_FF_ext.fits
01033075   alfUMi      2459678.4480430   30 -11.384 0.000 -0.038 0.001 2.149 -14.043 0.059 1001 0.223 0.002 6.737 0.09 281.24  0.01    /projects/astro/mercator21/STARS/alfUMi/20220408/reduced/01033061_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220408/reduced/01033030_HRF_FF_ext.fits
01035841   alfUMi      2459703.3742134   30 -8.664 0.000 -0.046 0.001 2.078 -16.385 0.061 1001 0.216 0.002 6.641 0.09 287.83  0.01    /projects/astro/mercator21/STARS/alfUMi/20220503/reduced/01035833_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220503/reduced/01035802_HRF_FF_ext.fits
01036193   alfUMi      2459706.4029429   30 -8.216 0.000 -0.018 0.001 2.055 -14.464 0.069  999 0.215 0.002 6.681 0.11 331.19  0.01    /projects/astro/mercator21/STARS/alfUMi/20220506/reduced/01036198_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220506/reduced/01036154_HRF_FF_ext.fits
01036445   alfUMi      2459708.5763163   30 -7.877 0.000 0.073 0.001 2.154 -14.134 0.075 1001 0.225 0.003 6.668 0.12 246.60  0.01    /projects/astro/mercator21/STARS/alfUMi/20220508/reduced/01036424_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220508/reduced/01036385_HRF_FF_ext.fits
01036756   alfUMi      2459711.4826940   30 -7.418 0.000 -0.008 0.002 2.110 -16.435 0.058  998 0.215 0.002 6.733 0.09 328.82  0.01    /projects/astro/mercator21/STARS/alfUMi/20220511/reduced/01036757_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220511/reduced/01036723_HRF_FF_ext.fits
01037057   alfUMi      2459714.4685829   30 -6.929 0.000 -0.014 0.002 2.065 -15.018 0.055  998 0.212 0.002 7.021 0.09 305.45  0.01    /projects/astro/mercator21/STARS/alfUMi/20220514/reduced/01037060_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220514/reduced/01037015_HRF_FF_ext.fits
01037495   alfUMi      2459717.3914300   30 -6.438 0.000 0.025 0.001 2.160 -12.820 0.079  998 0.222 0.003 7.027 0.13 312.84  0.01    /projects/astro/mercator21/STARS/alfUMi/20220517/reduced/01037502_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220517/reduced/01037456_HRF_FF_ext.fits
01037808   alfUMi      2459720.3608425   30 -5.924 0.000 -0.037 0.002 2.063 -14.803 0.061  999 0.224 0.002 6.826 0.10 333.92  0.01    /projects/astro/mercator21/STARS/alfUMi/20220520/reduced/01037804_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220520/reduced/01037773_HRF_FF_ext.fits
01038684   alfUMi      2459728.4884894   30 -4.434 0.000 -0.008 0.001 2.132 -14.329 0.060  999 0.226 0.002 6.732 0.10 308.55  0.01    /projects/astro/mercator21/STARS/alfUMi/20220528/reduced/01038686_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220528/reduced/01038642_HRF_FF_ext.fits
01040706   alfUMi      2459748.4164464   30 -0.520 0.000 0.000 0.001 2.136 -13.833 0.084 1000 0.229 0.003 6.384 0.13 330.11  0.01    /projects/astro/mercator21/STARS/alfUMi/20220617/reduced/01040715_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220617/reduced/01040665_HRF_FF_ext.fits
01045229   alfUMi      2459793.7011447   30 7.873 0.000 0.169 0.001 2.240 -14.405 0.045  995 0.214 0.001 6.951 0.07 164.26  0.00    /projects/astro/mercator21/STARS/alfUMi/20220801/reduced/01045206_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220801/reduced/01045163_HRF_FF_ext.fits
01045613   alfUMi      2459797.3714805   30 8.414 0.000 0.090 0.001 2.199 -13.639 0.052  995 0.217 0.002 6.863 0.08 281.48  0.01    /projects/astro/mercator21/STARS/alfUMi/20220805/reduced/01045619_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220805/reduced/01045555_HRF_FF_ext.fits
01046136   alfUMi      2459803.3754234   30 9.226 0.000 0.024 0.001 2.157 -15.962 0.046  999 0.225 0.002 6.494 0.07 275.22  0.01    /projects/astro/mercator21/STARS/alfUMi/20220811/reduced/01046131_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220811/reduced/01046100_HRF_FF_ext.fits
01046282   alfUMi      2459804.7342234   30 9.397 0.000 0.061 0.001 2.169 -12.891 0.059  998 0.225 0.002 6.570 0.09 303.84  0.01    /projects/astro/mercator21/STARS/alfUMi/20220812/reduced/01046260_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220812/reduced/01046209_HRF_FF_ext.fits
01047155   alfUMi      2459813.5835155   38 10.409 0.000 0.070 0.001 2.235 -14.488 0.059  996 0.217 0.002 6.859 0.09 222.28  0.01    /projects/astro/mercator21/STARS/alfUMi/20220821/reduced/01047149_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220821/reduced/01047096_HRF_FF_ext.fits
01051126   alfUMi      2459858.4589118   30 11.661 0.000 0.034 0.001 2.260 -16.882 0.035  998 0.221 0.001 6.473 0.05 287.70  0.00    /projects/astro/mercator21/STARS/alfUMi/20221005/reduced/01051127_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20221005/reduced/01051081_HRF_FF_ext.fits
01051219   alfUMi      2459859.4435174   30 11.610 0.000 -0.009 0.001 2.110 -14.826 0.046 1000 0.227 0.002 6.422 0.07 140.75  0.01    /projects/astro/mercator21/STARS/alfUMi/20221006/reduced/01051222_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20221006/reduced/01051173_HRF_FF_ext.fits
01051345   alfUMi      2459860.6570024   30 11.537 0.000 0.156 0.001 2.197 -13.012 0.061  997 0.222 0.002 6.493 0.09 265.55  0.01    /projects/astro/mercator21/STARS/alfUMi/20221007/reduced/01051333_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20221007/reduced/01051283_HRF_FF_ext.fits
